calBP,PrDens,lo,hi,logFit,CRR,MAT,NPP,CompID,PhaseID
1800,10.88722436,8.929992863,14.5941849,11.15014482,429.1781551,19.84853994,743.8992447,Component III,Intensification
1750,11.00062663,9.122133952,15.02573144,11.54300993,445.0001784,19.86112366,767.4773703,Component III,Intensification
1700,10.86681375,10.11773051,14.8202369,11.93410817,421.7109158,20.02732676,732.685162,Component III,Intensification
1650,10.87133166,10.26216504,15.80500095,12.31950258,449.1287442,19.87961538,773.5891545,Component III,Intensification
1600,11.0546044,10.35067604,16.31323329,12.69548374,462.7538365,19.9658847,793.640789,Component III,Intensification
1550,11.24712871,10.59803021,16.485609,13.05870695,455.8059983,19.80049591,783.4385343,Component III,Intensification
1500,12.12662335,11.2562415,16.62646765,13.40630013,497.7544438,19.6725234,844.3262106,Component III,Intensification
1450,13.03800824,11.05820748,17.6409022,13.73593618,487.616452,19.73994924,829.7660679,Component III,Intensification
1400,12.77414093,11.48786848,17.52459423,14.04586778,446.976249,19.63491323,770.4047666,Component III,Intensification
1350,11.84759032,12.0722832,17.68720537,14.3349268,396.0978113,20.09290792,693.7949411,Component III,Intensification
1300,12.08028425,12.52875303,18.06714438,14.60249333,430.9382862,19.85693197,746.5344704,Component III,Intensification
1250,14.75233797,12.92389258,18.06446396,14.84844164,458.6723783,20.120495,787.6532511,Component III,Intensification
1200,16.82900711,12.56276754,18.73753333,15.07307108,451.8539557,19.76929921,777.6142921,Component III,Intensification
1150,18.20425912,13.1202712,18.6186791,15.27702916,455.3324765,19.81026388,782.7414968,Component III,Intensification
1100,19.73372526,12.92070987,19.28089062,15.46123366,440.2069616,19.94878581,760.3606103,Component III,Intensification
1050,19.30911447,13.30938113,19.13274932,15.62679844,459.3652754,19.79094533,788.6708816,Component III,Intensification
1000,18.19809652,13.15250028,19.56439386,15.77496667,465.367308,19.7079482,797.4662633,Component III,Intensification
950,18.02990422,13.53548839,19.49444781,15.90705324,441.8126254,19.87729736,762.7471535,Component III,Intensification
900,17.74755859,13.90442246,19.06964263,16.02439724,470.2049388,19.68436178,804.5298624,Component III,Intensification
850,17.33172795,13.34800208,19.87418302,16.12832439,485.7038462,19.73566223,827.0081846,Component III,Intensification
800,17.0613862,13.3826947,19.98943999,16.22011858,472.5196396,19.58075378,807.9016233,Component III,Intensification
750,16.4440569,13.67751482,19.68441186,16.30100158,456.0982549,19.71130676,783.8686349,Component III,Intensification
700,17.12999308,13.82741376,19.87127547,16.3721195,444.2521076,19.82465719,766.3681584,Component III,Intensification
650,17.85699347,14.42610244,19.71496357,16.43453486,459.7617982,19.65702423,789.2530283,Component III,Intensification
600,17.32796456,14.05818825,20.15951064,16.48922305,461.8798779,19.62508606,792.3600483,Component III,Recession
550,16.88735051,14.17981968,20.17476951,16.53707209,456.4647273,19.68238363,784.4078375,Component III,Recession
500,16.05212943,14.66918484,19.60785267,16.57888475,471.6615238,19.74945089,806.6522341,Component III,Recession
450,15.6230946,14.14016426,19.74598717,16.61538254,435.7284791,19.89090373,753.6906546,Component III,Recession
400,15.61351275,13.2894459,19.91688495,16.64721056,451.7237631,19.9720461,777.4221632,Component III,Recession
350,15.49022204,13.1397895,20.03723774,16.67494314,439.7194048,19.73596792,759.6354372,Component III,Recession
300,15.31011035,11.89185475,17.39546121,16.69908969,448.5413734,19.6574708,772.7206533,Component III,Recession
250,13.54305961,7.099866137,10.72052505,16.72010059,439.0365745,19.70874797,758.6194271,Component III,Recession
200,11.95514493,3.043506662,7.006927466,16.73837297,477.2452636,19.21752289,814.7692407,Component III,Recession
