calBP,PrDens,lo,hi,LogisticFit,PhaseID,CompID,BRMspd,MeanFCRArea
9319,0.025538646,0.020164342,0.029115795,0.024367834,Intensification,Component I,0.01013055181879,0.16
9318,0.025479784,0.020160002,0.029102576,0.024374487,Intensification,Component I,0.010164192651064,0.16
9317,0.025418511,0.020155906,0.029088381,0.024381138,Intensification,Component I,0.010197646381993,0.16
9316,0.025354871,0.020152062,0.029073068,0.024387786,Intensification,Component I,0.010230896727183,0.16
9315,0.025288923,0.020150344,0.029057162,0.024394432,Intensification,Component I,0.010263925945392,0.16
9314,0.025220891,0.020160973,0.029029999,0.024401076,Intensification,Component I,0.010296616206936,0.16
9313,0.025150928,0.020156959,0.028988749,0.024407718,Intensification,Component I,0.010328954455003,0.16
9312,0.025079191,0.020151878,0.028966308,0.024414357,Intensification,Component I,0.010360927650091,0.16
9311,0.025005838,0.020155056,0.028929614,0.024420994,Intensification,Component I,0.010392522800031,0.16
9310,0.024931063,0.020202571,0.028927984,0.024427629,Intensification,Component I,0.010423726990886,0.16
9309,0.024855339,0.020227809,0.028921431,0.024434262,Intensification,Component I,0.010454581774414,0.16
9308,0.024778761,0.020270293,0.028944336,0.024440893,Intensification,Component I,0.01048508138332,0.16
9307,0.024701427,0.020337708,0.028916071,0.024447521,Intensification,Component I,0.010515220213187,0.16
9306,0.024623434,0.020378338,0.028916035,0.024454147,Intensification,Component I,0.01054499283359,0.16
9305,0.024544881,0.020398678,0.028904484,0.024460771,Intensification,Component I,0.010574393999029,0.16
9304,0.024466193,0.020419552,0.028890363,0.024467392,Intensification,Component I,0.010603399476108,0.16
9303,0.024387434,0.020441003,0.028875604,0.024474011,Intensification,Component I,0.010631999036951,0.16
9302,0.024308664,0.020463739,0.028869159,0.024480628,Intensification,Component I,0.010660183033221,0.16
9301,0.024229946,0.020487047,0.028863215,0.024487243,Intensification,Component I,0.010687942420332,0.16
9300,0.024151339,0.020511128,0.028847666,0.024493855,Intensification,Component I,0.010715268780874,0.16
9299,0.02407276,0.020535682,0.028832474,0.024500466,Intensification,Component I,0.010742294034396,0.16
9298,0.023994235,0.020561616,0.02883399,0.024507074,Intensification,Component I,0.010769000432977,0.16
9297,0.02391589,0.020575086,0.028810937,0.024513679,Intensification,Component I,0.0107953723702,0.16
9296,0.02383782,0.020605928,0.02887394,0.024520283,Intensification,Component I,0.010821396534879,0.16
9295,0.023760088,0.020635652,0.028886525,0.024526884,Intensification,Component I,0.010847062055558,0.16
9294,0.023682959,0.020645586,0.028868345,0.024533483,Intensification,Component I,0.010872276487991,0.16
9293,0.023606479,0.02064717,0.028849779,0.024540079,Intensification,Component I,0.010897048479096,0.16
9292,0.023530694,0.020654166,0.028830858,0.024546674,Intensification,Component I,0.010921390612011,0.16
9291,0.02345565,0.020656569,0.028860319,0.024553266,Intensification,Component I,0.010945319390313,0.16
9290,0.023381393,0.020657714,0.02892588,0.024559856,Intensification,Component I,0.010968855202983,0.16
9289,0.023307908,0.020658423,0.028970058,0.024566443,Intensification,Component I,0.010991889133788,0.16
9288,0.023235203,0.020667927,0.028989006,0.024573028,Intensification,Component I,0.011014435661903,0.16
9287,0.023163297,0.02072633,0.029017842,0.024579611,Intensification,Component I,0.01103651178723,0.16
9286,0.023092181,0.020788906,0.029042615,0.024586192,Intensification,Component I,0.011058137005156,0.16
9285,0.023021861,0.02074489,0.02907859,0.024592771,Intensification,Component I,0.011079333272192,0.16
9284,0.022951269,0.02077196,0.029054775,0.024599347,Intensification,Component I,0.011099892243912,0.16
9283,0.022880451,0.020800912,0.029048459,0.024605921,Intensification,Component I,0.011119843809041,0.16
9282,0.022809405,0.020830401,0.029074096,0.024612492,Intensification,Component I,0.01113922056225,0.16
9281,0.022738196,0.020860412,0.029070202,0.024619061,Intensification,Component I,0.011158057691881,0.16
9280,0.022666856,0.020891168,0.029095446,0.024625629,Intensification,Component I,0.011176392859735,0.16
9279,0.022595222,0.020906063,0.029131756,0.024632193,Intensification,Component I,0.011194081775365,0.16
9278,0.022523398,0.020891022,0.029144031,0.024638756,Intensification,Component I,0.011211203296676,0.16
9277,0.022451471,0.020924456,0.02918741,0.024645316,Intensification,Component I,0.011227876975173,0.16
